OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-04-21T22:45:46.764288,14.32862285,0.0025432,74.0397,331.5147,204.0202,155.9766,0,U,22675,999,61181,0.00016278,4.2e-06,0
COSMOS 2251 DEB,1993-036E,2024-04-21T18:35:57.065856,14.32300067,0.0014366,74.0374,338.655,145.1281,292.4695,0,U,33757,999,79405,0.00013457,3.38e-06,0
COSMOS 2251 DEB,1993-036F,2024-04-21T20:53:40.875072,14.44198267,0.0020024,74.031,258.8941,111.2744,15.4521,0,U,33758,999,79620,0.0035204,0.00012107,0
COSMOS 2251 DEB,1993-036G,2024-04-22T02:39:37.381248,14.70850998,0.0013056,74.0134,104.2755,339.1484,99.5438,0,U,33759,999,80164,0.0097124,0.00059973,0
COSMOS 2251 DEB,1993-036H,2024-04-21T21:34:11.502336,14.34931865,0.0020965,74.0308,301.7699,190.8139,280.073,0,U,33760,999,79518,0.00037622,1.047e-05,0
COSMOS 2251 DEB,1993-036J,2024-04-21T12:31:39.580032,14.39245312,0.0024348,74.0363,283.182,153.2566,268.1981,0,U,33761,999,79588,0.0018534,5.747e-05,0
COSMOS 2251 DEB,1993-036K,2024-04-21T18:16:15.231360,14.33307918,0.001551,74.0414,326.6515,182.4797,257.0979,0,U,33762,999,79450,0.00017353,4.52e-06,0
COSMOS 2251 DEB,1993-036M,2024-04-21T22:32:12.475392,14.37152999,0.0023604,74.0335,298.3795,48.6378,71.7633,0,U,33764,999,79532,0.0012141,3.597e-05,0
COSMOS 2251 DEB,1993-036N,2024-04-21T14:32:34.170720,14.75011014,0.0127985,74.0161,298.7049,184.5413,237.1238,0,U,33765,999,80671,0.0036801,0.00028365,0
COSMOS 2251 DEB,1993-036P,2024-04-21T13:17:25.363392,14.3160177,0.0065307,74.187,142.2376,156.9571,203.4534,0,U,33766,999,79151,0.0015329,4.156e-05,0
