OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
2024-018A,2024-018A,2024-02-24T11:17:31.058304,14.32847704,0.0455169,58.6903,292.5986,194.14,164.6525,0,U,58849,999,394,0.00030547,2.49e-05,0
2024-018B,2024-018B,2024-02-24T10:58:01.519392,14.33595419,0.0451825,58.6985,292.5616,194.5918,164.1699,0,U,58850,999,393,0.00047629,4.041e-05,0
2024-018C,2024-018C,2024-02-24T10:42:59.758272,14.34099892,0.0449315,58.6873,292.4917,194.087,164.7278,0,U,58851,999,394,0.00030945,2.541e-05,0
2024-018D,2024-018D,2024-02-24T10:43:59.479680,14.34199887,0.0449321,58.6767,292.4682,193.6935,165.1566,0,U,58852,999,394,0.0008129,7.111e-05,0
STARLINK-31238,2024-019A,2024-02-22T12:33:15.455520,15.45260211,0.0001292,43.0007,135.3412,294.4771,65.5952,0,U,58853,999,474,-0.0033578,-0.00160549,0
STARLINK-31158,2024-019B,2024-02-24T14:00:01.999872,15.2586032,0.0001173,42.9997,123.8589,263.8098,216.9731,0,U,58854,999,517,0.0028191,0.00074119,0
STARLINK-31237,2024-019C,2024-02-24T14:00:01.999872,15.28564165,0.0003062,43.0008,124.0636,300.6255,95.5514,0,U,58855,999,525,0.0042734,0.00122965,0
STARLINK-31244,2024-019D,2024-02-24T06:00:00.999648,15.25872942,0.0001178,43.0004,125.9453,265.2745,95.1113,0,U,58856,999,515,0.0023703,0.00062201,0
STARLINK-31216,2024-019E,2024-02-24T14:00:01.999872,15.25896578,0.0001538,43.0001,123.4138,282.5801,12.3705,0,U,58857,999,521,0.00072565,0.00018765,0
STARLINK-31226,2024-019F,2024-02-24T06:00:00.999648,15.25863982,9.1e-05,42.9999,125.825,269.9455,140.1927,0,U,58858,999,531,0.0014986,0.00039097,0
STARLINK-31197,2024-019G,2024-02-23T22:00:01.999584,15.2589727,0.0001724,43.0007,127.9414,272.2502,5.1623,0,U,58859,999,535,0.0011123,0.00028941,0
STARLINK-31213,2024-019H,2024-02-23T22:00:01.999584,15.25885728,0.0001352,43.0003,128.1176,272.4151,290.3708,0,U,58860,999,534,0.0013448,0.00035062,0
STARLINK-31199,2024-019J,2024-02-24T14:00:01.999872,15.25891279,0.0001326,43.0004,124.0383,264.1729,141.9632,0,U,58861,999,536,-1.5094e-05,-6.52e-06,0
STARLINK-31200,2024-019K,2024-02-24T14:00:01.999872,15.25909076,0.0001804,42.9995,123.8282,270.2466,222.95,0,U,58862,999,536,-0.003687,-0.00095464,0
STARLINK-31149,2024-019L,2024-02-24T03:43:31.859904,15.25905919,0.0001456,43,126.9564,286.1761,73.8929,0,U,58863,999,529,0.00013124,3.177e-05,0
STARLINK-31242,2024-019M,2024-02-24T14:00:01.999872,15.25929792,9.97e-05,43.0002,124.1584,269.7628,86.5632,0,U,58864,999,536,-0.002558,-0.00066607,0
STARLINK-31223,2024-019N,2024-02-24T14:00:01.999872,15.25873043,0.0001584,42.9997,123.8879,283.5018,184.8361,0,U,58865,999,521,0.0024613,0.00064621,0
STARLINK-31219,2024-019P,2024-02-24T06:00:00.999648,15.25986431,0.0001631,42.9998,126.272,238.0217,345.4767,0,U,58866,999,506,-0.0040975,-0.00106158,0
STARLINK-31198,2024-019Q,2024-02-24T14:00:01.999872,15.25922489,0.0001212,42.9998,123.9613,261.784,169.2341,0,U,58867,999,510,-0.002654,-0.0006906,0
STARLINK-31196,2024-019R,2024-02-23T22:00:01.999584,15.2592256,0.0001222,43.0005,127.7598,271.1892,80.9081,0,U,58868,999,508,-0.0012588,-0.0003305,0
STARLINK-31203,2024-019S,2024-02-24T11:16:26.495904,15.44971259,0.0002462,42.9998,124.1488,227.4108,132.6543,0,U,58869,999,535,0.0002003,9.355e-05,0
STARLINK-31201,2024-019T,2024-02-24T06:00:00.999648,15.25909864,7.88e-05,42.9996,126.3622,259.0119,287.2188,0,U,58870,999,510,-7.6739e-05,-2.264e-05,0
STARLINK-31214,2024-019U,2024-02-23T22:00:01.999584,15.25868219,0.0001502,43.0005,128.0897,268.0697,307.1611,0,U,58871,999,505,0.0014651,0.00038217,0
STARLINK-31215,2024-019V,2024-02-23T22:00:01.999584,15.25865865,0.0001867,43.0002,128.0002,274.1747,338.3509,0,U,58872,999,510,0.0014783,0.00038564,0
STARLINK-31177,2024-019W,2024-02-24T06:00:00.999648,15.29485919,0.0001023,42.9994,125.6246,279.2494,213.1318,0,U,58873,999,531,-0.084161,-0.02197298,0
STARLINK-30945,2024-019X,2024-02-24T14:00:01.999872,15.2592367,9.46e-05,42.9997,123.9042,258.8073,197.086,0,U,58874,999,536,-0.0030033,-0.00078022,0
STARLINK-31212,2024-019Y,2024-02-24T14:00:01.999872,15.25891216,0.0001242,42.9998,124.4272,269.5655,334.8384,0,U,58875,999,520,-0.00072785,-0.00019236,0
STARLINK-31306,2024-020A,2024-02-23T22:00:01.999584,15.27968876,0.0001315,53.1609,181.383,73.934,131.8946,0,U,58876,999,521,0.0022413,0.00062153,0
STARLINK-31326,2024-020B,2024-02-24T08:27:12.406752,15.45484098,0.0001663,53.1615,178.823,58.189,301.9279,0,U,58877,999,528,0.00020508,9.571e-05,0
STARLINK-31300,2024-020C,2024-02-23T22:00:01.999584,15.27987709,0.0001403,53.16,181.3322,96.9971,134.6493,0,U,58878,999,522,0.001608,0.00044411,0
STARLINK-31296,2024-020D,2024-02-24T14:00:01.999872,15.28097316,0.000134,53.161,178.1987,88.0005,236.8385,0,U,58879,999,531,-0.0061171,-0.00166432,0
STARLINK-31328,2024-020E,2024-02-24T12:06:00.752832,15.78508796,0.0001666,53.1659,175.4566,113.0233,247.0965,0,U,58880,999,535,0.00010844,0.00018584,0
STARLINK-31260,2024-020F,2024-02-23T22:00:01.999584,15.27957063,0.0001197,53.1598,181.2807,89.1315,168.1969,0,U,58881,999,522,0.0024047,0.00066727,0
STARLINK-31323,2024-020G,2024-02-24T14:00:01.999872,15.28156851,0.0001541,53.1596,178.147,79.2069,271.3612,0,U,58882,999,516,-0.0088999,-0.00240066,0
STARLINK-31209,2024-020H,2024-02-23T22:00:01.999584,15.27959798,0.0001387,53.1596,181.2295,89.0217,194.0899,0,U,58883,999,510,0.0022096,0.00061245,0
STARLINK-31315,2024-020J,2024-02-24T08:18:00.833472,15.75111894,0.0002216,53.1595,175.8611,22.7553,337.3565,0,U,58884,999,516,0.0011806,0.00183292,0
STARLINK-31318,2024-020K,2024-02-24T14:00:01.999872,15.2803172,0.0001119,53.1605,177.6284,91.9841,156.0975,0,U,58885,999,516,-0.00043496,-0.00012382,0
STARLINK-31320,2024-020L,2024-02-24T14:00:01.999872,15.28174503,0.0001318,53.1596,178.0956,96.4641,279.8889,0,U,58886,999,531,-0.0087061,-0.00235122,0
STARLINK-31321,2024-020M,2024-02-24T14:00:01.999872,15.28049282,0.0001204,53.1594,178.0446,77.1824,324.8608,0,U,58887,999,515,-0.0031788,-0.00087445,0
STARLINK-30970,2024-020N,2024-02-24T14:00:01.999872,15.28171414,0.0001241,53.1597,178.0918,94.8378,283.3411,0,U,58888,999,531,-0.0080182,-0.00217071,0
STARLINK-31007,2024-020P,2024-02-24T14:00:01.999872,15.28007147,7.74e-05,53.1595,178.0411,118.072,285.7032,0,U,58889,999,532,0.0016226,0.00044846,0
STARLINK-31230,2024-020Q,2024-02-24T06:00:00.999648,15.28011366,0.0001496,53.1593,179.5351,101.0804,292.0531,0,U,58890,999,515,0.000134,3.361e-05,0
