OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-04-22T02:47:54.790368,14.34319099,0.0008656,86.3849,319.6844,26.8663,333.2979,0,U,24946,999,39238,0.00029818,8.57e-06,0
IRIDIUM 33 DEB,1997-051L,2024-04-21T22:40:25.916160,14.4065941,0.0010569,86.3987,314.1598,346.5416,13.55,0,U,33773,999,79703,0.0010259,3.294e-05,0
IRIDIUM 33 DEB,1997-051N,2024-04-21T13:07:08.510592,14.3812294,0.0014519,86.3615,305.0099,351.53,62.0092,0,U,33775,999,79503,0.001893,5.764e-05,0
IRIDIUM 33 DEB,1997-051P,2024-04-21T22:07:21.188928,14.36078865,0.0015105,86.4054,332.1683,13.0201,116.5305,0,U,33776,999,79466,0.00099497,2.917e-05,0
IRIDIUM 33 DEB,1997-051Q,2024-04-21T22:20:10.726944,14.47690324,0.0012113,86.3766,294.3691,117.9162,242.3269,0,U,33777,999,79830,0.0027538,0.00010192,0
IRIDIUM 33 DEB,1997-051T,2024-04-21T23:14:01.559040,14.38695603,0.0011566,86.3375,287.3029,357.0234,118.0571,0,U,33850,999,79517,0.0018688,5.754e-05,0
IRIDIUM 33 DEB,1997-051W,2024-04-21T22:17:11.244768,13.94419837,0.0221433,85.9991,251.7368,270.9791,218.641,0,U,33853,999,76982,0.0018709,3.069e-05,0
IRIDIUM 33 DEB,1997-051AC,2024-04-21T21:42:26.346240,14.58460883,0.0040421,86.3318,277.7316,287.7549,71.925,0,U,33859,999,79644,0.0083987,0.00039612,0
IRIDIUM 33 DEB,1997-051AD,2024-04-21T23:29:38.539392,14.5338479,0.0011827,86.3841,289.6586,200.5681,284.9924,0,U,33860,999,79978,0.0036652,0.00015298,0
IRIDIUM 33 DEB,1997-051AF,2024-04-22T00:48:17.949312,14.55791496,0.0058572,86.4082,298.9645,317.928,162.1273,0,U,33862,999,80058,0.0030016,0.00013486,0
